City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,La Union,PE,2022-01-06 04:59:12,-5.4,-80.75,70.93,77,8,9.19
153,Namibe,AO,2022-01-06 04:59:13,-15.1961,12.1522,66.72,87,20,3.8
154,Goderich,CA,2022-01-06 04:59:13,43.7501,-81.7165,26.91,86,100,23.02
155,Teya,RU,2022-01-06 04:59:14,60.3778,92.6267,2.1,93,82,7.43
156,Sainte-Anne-Des-Monts,CA,2022-01-06 04:59:14,49.124,-66.4924,19.27,86,100,4.61
157,Chokurdakh,RU,2022-01-06 04:59:15,70.6333,147.9167,-22.02,99,100,5.08
158,Mahebourg,MU,2022-01-06 04:59:15,-20.4081,57.7,83.25,83,75,4.61
159,Curvelo,BR,2022-01-06 04:59:16,-18.7564,-44.4308,68.41,99,100,5.93
160,Qala,AZ,2022-01-06 04:59:16,40.4418,50.1681,44.49,93,0,13.8
161,Mackay,AU,2022-01-06 04:59:17,-21.15,149.2,93.69,70,15,13.8
162,Port Blair,IN,2022-01-06 04:59:17,11.6667,92.75,82.78,68,37,14.14
163,Varkaus,FI,2022-01-06 04:59:18,62.3153,27.873,23.11,91,100,9.57
164,Rocha,UY,2022-01-06 04:59:18,-34.4833,-54.3333,58.66,72,0,4.16
165,Nobres,BR,2022-01-06 04:59:18,-14.7203,-56.3275,73.36,95,100,2.01
166,Huilong,CN,2022-01-06 04:59:19,31.8111,121.655,50.04,58,46,15.03
167,Salem,IN,2022-01-06 04:59:19,11.65,78.1667,77.2,69,20,0.0
168,Fairbanks,US,2022-01-06 04:55:53,64.8378,-147.7164,-27.98,70,1,0.0
169,Itoman,JP,2022-01-06 04:59:20,26.1247,127.6694,69.82,68,75,21.85
170,Pevek,RU,2022-01-06 04:59:20,69.7008,170.3133,-5.94,100,62,1.68
171,Melfi,IT,2022-01-06 04:59:21,40.9965,15.6514,51.49,73,100,1.77
172,Orange Cove,US,2022-01-06 04:59:21,36.6244,-119.3137,50.85,87,31,3.31
173,Kingman,US,2022-01-06 04:59:22,35.1894,-114.053,48.9,43,0,5.95
174,Sabang,ID,2022-01-06 04:59:22,5.8933,95.3214,80.44,79,71,14.94
175,Ponta Do Sol,PT,2022-01-06 04:59:22,32.6667,-17.1,62.01,67,12,4.74
176,Mayo,US,2022-01-06 05:00:27,38.8876,-76.5119,43.99,87,100,1.01
177,Yantal,RU,2022-01-06 05:00:29,56.8471,105.2542,20.57,94,100,3.62
178,Byron Bay,AU,2022-01-06 05:00:31,-28.65,153.6167,81.72,92,33,13.02
179,Itarema,BR,2022-01-06 05:00:32,-2.9248,-39.9167,77.77,84,99,7.52
180,Laramie,US,2022-01-06 05:00:39,41.3114,-105.5911,24.35,82,90,13.8
181,Reyes,BO,2022-01-06 05:00:40,-14.3167,-67.3833,73.94,95,100,3.09
182,Skelleftea,SE,2022-01-06 05:00:42,64.7507,20.9528,12.56,66,6,1.01
183,Surovikino,RU,2022-01-06 05:00:42,48.6078,42.8486,39.58,98,100,11.52
184,Santa Cruz,BO,2022-01-06 05:00:14,-17.8,-63.1667,70.41,93,81,3.69
185,Los Llanos De Aridane,ES,2022-01-06 05:00:44,28.6585,-17.9182,60.55,74,75,11.01
186,Uvalde,US,2022-01-06 05:00:45,29.3669,-99.767,55.4,19,1,6.91
187,Laguna,US,2022-01-06 05:00:45,38.421,-121.4238,54.1,96,90,1.01
188,Yulara,AU,2022-01-06 05:00:46,-25.2406,130.9889,93.16,17,0,5.19
189,Georgiyevka,KZ,2022-01-06 05:00:46,43.0369,74.7114,33.84,86,100,6.71
190,Saint Anthony,US,2022-01-06 05:00:47,45.0205,-93.218,5.67,79,90,8.01
191,Tilichiki,RU,2022-01-06 05:00:47,60.4667,166.1,-2.07,95,45,9.44
192,Hovd,MN,2022-01-06 05:00:48,48.0056,91.6419,6.93,72,93,2.08
